mbid,artist_mb,tags_mb,listeners_lastfm
197450cd-0124-4164-b723-3c22dd16494d,Frank Sinatra,pop; jazz; vocal; christmas; swing; big band; columbia; easy listening soundtracks and musicals; garland; chrismas; duets; swing; jazz; big band; christmas,2357629
5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Bon Jovi,rock; metal; american; band; hard rock; usa; glam rock; classic rock; acoustic rock; pop rock; glam metal; aor; pop and chart; hard fm,2353577
a466c2a2-6517-42fb-a160-1087c3bafd9f,Slipknot,metal; nu metal; new metal; alternative metal; rap metal; rock and indie,2350050
bf24ca37-25f4-4e34-9aec-460b94364cfc,Shakira,rock; pop; alternative; electropop; dance-pop; pop rock; latin pop; latin; colombian; merengue; classic pop and rock; barranquilla; atlantico,2346168
6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,The Shins,rock; pop; folk; american; indie rock; indie; indie pop; psychedelic pop; indie folk; folk pop; rock and indie,2343174
8f92558c-2baa-4758-8c38-615519e9deda,The Clash,rock; punk; punk rock; british; post-punk; new wave; uk; reggae; funk; english; dance-punk; england; classic pop and rock; disco rap,2340643
5f6ab597-f57a-40da-be9e-adad48708203,Dr. Dre,hip hop; producer; gangsta rap; pop rap; g-funk; rapper; classic pop and rock; west coast hip hop; hardcore hip hop; instrumental hip hop,2330510
8ef1df30-ae4f-4dbd-9351-1a32b208a01e,Alicia Keys,pop; alternative rock; jazz; american; singer; neo-soul; soul; rnb; pianist; pop rap; neo soul; film soundtrack; hip hop rnb and dance hall; r&b; contemporary r&b,2325048
b6b2bb8d-54a9-491f-9607-7b546023b433,Pixies,rock; alternative rock; american; punk rock; usa; indie rock; américain; acoustic rock; noise pop; 4ad; rock and indie; surfer music,2319799
8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,Limp Bizkit,rock; alternative rock; rap; metal; american; crossover; hip hop; nu metal; new metal; alternative metal; pop rock; rapcore; rap metal; rap rock; nu-metal; pop and chart; rock rap,2304812
40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,The Smiths,rock; synthpop; pop; alternative rock; 80s; british; post-punk; new wave; uk; indie rock; indie; alternative; interview; indie pop; indie folk; jangle pop; english; england; manchester; rock and indie; ozymandias_,2297719
c33c2065-b1c3-4406-b066-d33a9e2ea71a,OneRepublic,rock; pop; pop rock; folk pop; rock and indie; united states,2278164
